French,English
partie,part
histoire,history
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
fr̬re,brother
laisser,let
car,because
mettre,to put
aucun,no
ville,city
chaque,each
parl̩,speak
arriv̩,come
devrait,should
b̩b̩,baby
longtemps,long time
vont,will
pendant,while
aucune,any
parle,speak
compris,understood
savais,knew
̩taient,were
voici,here is
affaire,case
donner,give
train,train
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
premi̬re,first
pouvoir,power
vieux,old
matin,morning
tellement,so much
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demand̩,request
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
fin,end
croire,believe
ch̩rie,sweetheart
gros,large
plut̫t,rather
aura,will have
bureau,office
